week,close_price_usd
2018-01-22,11220.634285714286
2018-01-29,9607.990000000002
2018-02-05,7893.847142857143
2018-02-12,9782.277142857143
2018-02-19,10288.311428571427
2018-02-26,10879.754285714285
2018-03-05,9840.415714285715
2018-03-12,8423.872857142856
2018-03-19,8718.988571428572
2018-03-26,7363.761428571429
2018-04-02,6934.751428571428
2018-04-09,7533.547142857143
2018-04-16,8422.892857142857
2018-04-23,9196.048571428571
2018-04-30,9507.475714285712
2018-05-07,8915.772857142858
2018-05-14,8356.725714285714
2018-05-21,7652.179999999999
2018-05-28,7470.937142857144
2018-06-04,7474.582857142857
2018-06-11,6521.892857142857
2018-06-18,6466.567142857143
2018-06-25,6179.327142857143
2018-07-02,6617.7414285714285
2018-07-09,6343.891428571428
2018-07-16,7288.571428571428
2018-07-23,8119.785714285715
2018-07-30,7498.278571428571
2018-08-06,6450.622857142857
2018-08-13,6351.902857142857
2018-08-20,6533.717142857144
2018-08-27,7073.434285714286
2018-09-03,6667.070000000001
2018-09-10,6418.5
2018-09-17,6522.728571428571
2018-09-24,6577.244285714286
2018-10-01,6583.767142857143
2018-10-08,6454.797142857143
2018-10-15,6654.144285714285
2018-10-22,6537.494285714286
2018-10-29,6394.888571428572
2018-11-05,6478.464285714284
2018-11-12,5933.252857142857
2018-11-19,4419.827142857143
2018-11-26,4098.635714285714
2018-12-03,3639.1557142857137
2018-12-10,3317.8414285714284
2018-12-17,3798.7400000000002
2018-12-24,3776.5628571428574
2018-12-31,3810.85
2019-01-07,3734.908571428572
2019-01-14,3598.092857142857
2019-01-21,3557.378571428572
2019-01-28,3451.774285714286
2019-02-04,3534.694285714286
2019-02-11,3621.561428571428
2019-02-18,3933.8228571428567
2019-02-25,3817.084285714286
2019-03-04,3861.8942857142856
2019-03-11,3915.477142857143
2019-03-18,4001.7342857142858
2019-03-25,4037.8142857142852
2019-04-01,4864.602857142857
2019-04-08,5133.864285714286
2019-04-15,5209.4971428571425
2019-04-22,5343.237142857143
2019-04-29,5544.682857142857
2019-05-06,6315.351428571428
2019-05-13,7790.845714285714
2019-05-20,7989.6671428571435
2019-05-27,8601.747142857143
2019-06-03,7838.3328571428565
2019-06-10,8375.122857142856
2019-06-17,9851.935714285713
2019-06-24,11779.871428571427
2019-07-01,11169.558571428572
2019-07-08,11645.775714285715
2019-07-15,10343.908571428572
2019-07-22,9812.91857142857
2019-07-29,10258.172857142856
2019-08-05,11717.794285714286
2019-08-12,10498.204285714286
2019-08-19,10369.298571428571
2019-08-26,9810.532857142856
2019-09-02,10460.368571428571
2019-09-09,10279.1
2019-09-16,10146.322857142857
2019-09-23,8444.244285714285
2019-09-30,8183.321428571428
2019-10-07,8330.121428571427
2019-10-14,8098.31142857143
2019-10-21,8358.75
2019-10-28,9232.024285714286
2019-11-04,9125.695714285715
2019-11-11,8634.880000000001
2019-11-18,7647.091428571429
2019-11-25,7409.454285714286
2019-12-02,7385.157142857142
2019-12-09,7201.709999999999
2019-12-16,7109.384285714285
2019-12-23,7276.944285714286
2019-12-30,7237.944285714286
2020-01-06,8025.575714285714
2020-01-13,8713.244285714287
2020-01-20,8551.405714285715
2020-01-27,9309.361428571428
2020-02-03,9676.261428571428
2020-02-10,10113.907142857142
2020-02-17,9760.747142857144
2020-02-24,8904.118571428571
2020-03-02,8790.387142857142
2020-03-09,6381.558571428572
2020-03-16,5729.792857142857
2020-03-23,6443.428571428572
2020-03-30,6657.9571428571435
2020-04-06,7115.9400000000005
2020-04-13,6975.239999999999
2020-04-20,7287.500000000001
2020-04-27,8515.048571428571
2020-05-04,9297.898571428572
2020-05-11,9264.484285714288
2020-05-18,9308.432857142858
2020-05-25,9299.221428571427
2020-06-01,9744.08
2020-06-08,9571.487142857144
2020-06-15,9395.277142857143
2020-06-22,9306.731428571427
2020-06-29,9130.397142857142
2020-07-06,9299.314285714285
2020-07-13,9194.76857142857
2020-07-20,9548.852857142858
2020-07-27,11192.050000000001
2020-08-03,11565.210000000001
2020-08-10,11736.18142857143
2020-08-17,11810.95857142857
2020-08-24,11508.905714285715
2020-08-31,10852.858571428571
2020-09-07,10316.828571428572
2020-09-14,10897.914285714287
2020-09-21,10587.732857142855
2020-09-28,10673.05857142857
2020-10-05,10956.672857142856
2020-10-12,11410.896666666667
